"Fecha","Millones de USD"
"2000/01/31",103.751343971047
"2000/02/29",145.8372779756
"2000/03/31",125.347269267571
"2000/04/30",115.880748086342
"2000/05/31",129.341871079179
"2000/06/30",134.003066690382
"2000/07/31",117.790024096463
"2000/08/31",132.104627259209
"2000/09/30",138.993544303526
"2000/10/31",127.632751475483
"2000/11/30",137.199533438876
"2000/12/31",170.145829367322
"2001/01/31",139.723638124913
"2001/02/28",139.528352035407
"2001/03/31",138.209131249027
"2001/04/30",179.730618191773
"2001/05/31",178.800380704528
"2001/06/30",171.927117781743
"2001/07/31",165.316632562038
"2001/08/31",158.881678936681
"2001/09/30",146.622502120845
"2001/10/31",191.374966206258
"2001/11/30",185.055594031603
"2001/12/31",226.220081195183
"2002/01/31",167.179383300999
"2002/02/28",166.94233096
"2002/03/31",165.340965617001
"2002/04/30",198.177889657501
"2002/05/31",197.048700299501
"2002/06/30",188.705438010498
"2002/07/31",240.683988273498
"2002/08/31",232.872777424001
"2002/09/30",217.991704377499
"2002/10/31",214.676930418499
"2002/11/30",207.006020670499
"2002/12/31",257.083692785
"2003/01/31",225.699804144
"2003/02/28",218.4467429335
"2003/03/31",237.367071405
"2003/04/30",241.3153363975
"2003/05/31",272.0398580435
"2003/06/30",235.94558355
"2003/07/31",282.28233269
"2003/08/31",245.75343559
"2003/09/30",270.784764656
"2003/10/31",272.6187164465
"2003/11/30",235.4674102235
"2003/12/31",322.3741338865
"2004/01/31",231.028426831776
"2004/02/29",228.123032295888
"2004/03/31",249.605150547612
"2004/04/30",237.151263612044
"2004/05/31",262.20912781916
"2004/06/30",257.209850331696
"2004/07/31",258.9997716949
"2004/08/31",249.509064762128
"2004/09/30",251.577052857704
"2004/10/31",271.539725828932
"2004/11/30",318.87314512152
"2004/12/31",354.073223617544
"2005/01/31",224.229431506496
"2005/02/28",235.909740818752
"2005/03/31",270.986652339104
"2005/04/30",261.690367228576
"2005/05/31",270.060388406432
"2005/06/30",271.511643780832
"2005/07/31",262.795567565856
"2005/08/31",299.889097722656
"2005/09/30",288.785536135616
"2005/10/31",285.521102426144
"2005/11/30",294.306250801472
"2005/12/31",348.029258469152
"2006/01/31",266.8843789664
"2006/02/28",264.74638014032
"2006/03/31",324.2601891984
"2006/04/30",283.259443216589
"2006/05/31",366.984014306124
"2006/06/30",342.3683229195
"2006/07/31",313.72860079184
"2006/08/31",334.71802675584
"2006/09/30",324.122452524832
"2006/10/31",331.601419034702
"2006/11/30",332.925257428814
"2006/12/31",375.344926619726
"2007/01/31",305.282645332154
"2007/02/28",299.971910284963
"2007/03/31",338.831234378348
"2007/04/30",317.738587311306
"2007/05/31",339.883839817417
"2007/06/30",334.95282114634
"2007/07/31",368.629648495597
"2007/08/31",412.726989403278
"2007/09/30",400.515962611806
"2007/10/31",427.784713374594
"2007/11/30",456.168081637194
"2007/12/31",427.250733317394
"2008/01/31",380.816324830575
"2008/02/29",357.81259930892
"2008/03/31",389.473144434073
"2008/04/30",405.97819925904
"2008/05/31",405.547838785665
"2008/06/30",362.74570875158
"2008/07/31",465.818922586522
"2008/08/31",369.547831598816
"2008/09/30",476.540559808501
"2008/10/31",421.173613122182
"2008/11/30",317.418762493623
"2008/12/31",432.040740548084
"2009/01/31",319.236038019313
"2009/02/28",374.710224393428
"2009/03/31",385.912730336853
"2009/04/30",340.080277948164
"2009/05/31",341.618014586646
"2009/06/30",313.079553416052
"2009/07/31",314.474113038195
"2009/08/31",304.049495310003
"2009/09/30",313.696735094399
"2009/10/31",334.921208022788
"2009/11/30",340.868082740292
"2009/12/31",407.633042299339
"2010/01/31",265.313637929137
"2010/02/28",273.196892052648
"2010/03/31",361.061174166368
"2010/04/30",317.537821553281
"2010/05/31",329.871400733132
"2010/06/30",319.073408472345
"2010/07/31",341.592813715424
"2010/08/31",336.998990339752
"2010/09/30",330.32969256909
"2010/10/31",343.742206690342
"2010/11/30",360.89035176638
"2010/12/31",416.740291928719
"2011/01/31",291.366236298713
"2011/02/28",320.087715774921
"2011/03/31",359.036184779155
"2011/04/30",308.012271785808
"2011/05/31",349.673276595373
"2011/06/30",326.632414814715
"2011/07/31",319.42022462642
"2011/08/31",369.645906697787
"2011/09/30",339.353139358458
"2011/10/31",351.158348029023
"2011/11/30",354.009495861519
"2011/12/31",375.700677733975
"2012/01/31",294.544021276778
"2012/02/29",302.515521392868
"2012/03/31",338.471050015143
"2012/04/30",330.603744928311
"2012/05/31",354.332091446571
"2012/06/30",319.672204150461
"2012/07/31",330.385982226007
"2012/08/31",346.776346251628
"2012/09/30",313.09573986376
"2012/10/31",353.608586219959
"2012/11/30",327.238701981029
"2012/12/31",358.415217159281
"2013/01/31",329.401455881396
"2013/02/28",317.324464083383
"2013/03/31",334.17196561061
"2013/04/30",387.131820343324
"2013/05/31",395.790522447809
"2013/06/30",372.866238436651
"2013/07/31",394.230216647281
"2013/08/31",372.229379731597
"2013/09/30",354.136418989288
"2013/10/31",368.28965357574
"2013/11/30",360.613906129653
"2013/12/31",414.858047691599
"2014/01/31",352.571593182008
"2014/02/28",330.221349801812
"2014/03/31",338.704869349209
"2014/04/30",317.025000129402
"2014/05/31",333.129451560006
"2014/06/30",298.394793363209
"2014/07/31",346.205411124412
"2014/08/31",315.256072444009
"2014/09/30",343.276860642605
"2014/10/31",349.249470317606
"2014/11/30",324.20020710141
"2014/12/31",444.971693314211
"2015/01/31",349.000434523918
"2015/02/28",361.96006368537
"2015/03/31",435.93788429111
"2015/04/30",352.861241031753
"2015/05/31",362.699326442073
"2015/06/30",396.979870545285
